NAME                                 	CHART VERSION	APP VERSION                 	DESCRIPTION                                                 
stable/mysqldump                     	2.3.0        	2.3.0                       	A Helm chart to help backup MySQL databases using mysqldump 
stable/namerd                        	0.2.0        	                            	Service that manages routing for multiple linkerd instances 
stable/nats                          	2.0.4        	1.4.0                       	An open-source, cloud-native messaging system               
stable/neo4j                         	0.10.0       	3.4.5                       	Neo4j is the world's leading graph database                 
stable/newrelic-infrastructure       	0.7.0        	1.3.1                       	A Helm chart to deploy the New Relic Infrastructure Agent...
stable/nfs-client-provisioner        	1.2.3        	3.1.0                       	nfs-client is an automatic provisioner that used your *al...
stable/nfs-server-provisioner        	0.2.1        	1.0.8                       	nfs-server-provisioner is an out-of-tree dynamic provisio...
stable/nginx-ingress                 	1.2.3        	0.22.0                      	An nginx Ingress controller that uses ConfigMap to store ...
stable/nginx-ldapauth-proxy          	0.1.2        	1.13.5                      	nginx proxy with ldapauth                                   
stable/nginx-lego                    	0.3.1        	                            	Chart for nginx-ingress-controller and kube-lego            
stable/node-problem-detector         	1.3.0        	v0.6.1                      	Installs the node-problem-detector daemonset for monitori...
stable/node-red                      	1.0.2        	0.19.4                      	Node-RED is flow-based programming for the Internet of Th...
stable/odoo                          	5.0.4        	11.0.20190115               	A suite of web based open source business apps.             
stable/opa                           	0.2.0        	0.10.1                      	Open source, general-purpose policy engine. Enforce fine-...
stable/opencart                      	4.0.4        	3.0.3-1                     	A free and open source e-commerce platform for online mer...
stable/openebs                       	0.8.1        	0.8.0                       	Containerized Storage for Containers                        
stable/openiban                      	1.0.0        	1.0.1                       	OpenIBAN is a self-hosted, free and open-source IBAN vali...
stable/openldap                      	0.3.0        	2.4.44                      	Community developed LDAP software                           
stable/openvpn                       	3.11.0       	1.1.0                       	A Helm chart to install an openvpn server inside a kubern...
stable/orangehrm                     	4.0.1        	4.2.0-1                     	OrangeHRM is a free HR management system that offers a we...
stable/osclass                       	4.0.3        	3.7.4                       	Osclass is a php script that allows you to quickly create...
stable/owncloud                      	4.0.2        	10.0.10                     	A file sharing server that puts the control and security ...
stable/pachyderm                     	0.1.8        	1.7.3                       	Pachyderm is a large-scale container-based workflow engin...
stable/parse                         	6.0.2        	3.1.3                       	Parse is a platform that enables users to add a scalable ...
stable/percona                       	0.3.4        	5.7.17                      	free, fully compatible, enhanced, open source drop-in rep...
stable/percona-xtradb-cluster        	0.6.2        	5.7.19                      	free, fully compatible, enhanced, open source drop-in rep...
stable/phabricator                   	4.0.10       	2019.4.0                    	Collection of open source web applications that help soft...
stable/phpbb                         	4.0.3        	3.2.5                       	Community forum that supports the notion of users and gro...
stable/phpmyadmin                    	2.0.4        	4.8.5                       	phpMyAdmin is an mysql administration frontend              
stable/postgresql                    	3.9.5        	10.6.0                      	Chart for PostgreSQL, an object-relational database manag...
stable/prestashop                    	6.1.2        	1.7.5-0                     	A popular open source ecommerce solution. Professional to...
stable/presto                        	0.1          	0.196                       	Distributed SQL query engine for running interactive anal...
stable/prisma                        	1.1.0        	1.2                         	Prisma turns your database into a realtime GraphQL API      
